('05', '08', '11', '17', '29', '43'):1
('23', '29', '32', '39', '40', '41'):1
('05', '16', '28', '29', '41', '42'):1
('01', '31', '32', '36', '39', '43'):1
('01', '06', '18', '19', '40', '42'):1
('08', '17', '24', '28', '35', '38'):1
('16', '19', '20', '22', '24', '25'):1
('13', '23', '24', '32', '35', '39'):1
('02', '03', '08', '32', '37', '45'):1
('05', '14', '17', '21', '27', '40'):1
('14', '16', '20', '22', '40', '44'):1
('03', '05', '07', '14', '47', '48'):1
('11', '12', '14', '42', '44', '47'):1
('12', '32', '35', '37', '39', '43'):1
('02', '14', '28', '35', '43', '44'):1
('05', '12', '24', '30', '46', '47'):1
('06', '07', '23', '29', '43', '49'):1
('16', '21', '35', '38', '47', '48'):1
('03', '10', '15', '28', '34', '39'):1
('08', '09', '25', '38', '42', '48'):1
('11', '29', '35', '43', '45', '49'):1
('08', '10', '14', '29', '30', '46'):1
('07', '08', '16', '19', '20', '41'):1
('04', '05', '34', '40', '43', '45'):1
('11', '13', '16', '24', '30', '41'):1
('06', '11', '14', '15', '19', '22'):1
('19', '29', '31', '37', '38', '39'):1
('08', '26', '27', '30', '37', '45'):1
('03', '12', '23', '40', '41', '43'):1
('18', '25', '27', '29', '38', '39'):1
('05', '07', '08', '31', '40', '43'):1
('09', '15', '16', '20', '22', '36'):1
('11', '20', '25', '28', '48', '49'):1
('05', '07', '20', '22', '38', '40'):1
('03', '17', '18', '33', '43', '49'):1
('01', '10', '28', '30', '31', '35'):1
('04', '07', '14', '28', '34', '49'):1
('02', '05', '19', '30', '42', '43'):1
('01', '13', '25', '34', '44', '47'):1
('08', '20', '29', '39', '43', '45'):1
('01', '05', '20', '30', '46', '49'):1
('19', '24', '37', '43', '45', '47'):1
('10', '19', '28', '34', '36', '44'):1
('08', '10', '19', '25', '38', '39'):1
('17', '18', '21', '22', '23', '44'):1
('01', '06', '11', '12', '16', '26'):1
('06', '27', '28', '32', '38', '45'):1
('12', '21', '23', '30', '40', '49'):1
('02', '04', '12', '21', '40', '45'):1
('01', '13', '23', '29', '37', '47'):1
('18', '26', '30', '33', '39', '41'):1
('05', '11', '23', '25', '29', '46'):1
('02', '21', '22', '28', '45', '46'):1
('01', '17', '22', '31', '38', '45'):1
('02', '06', '26', '35', '38', '46'):1
('01', '10', '19', '21', '24', '32'):1
('07', '20', '30', '34', '45', '48'):1
('02', '18', '30', '31', '34', '43'):1
('02', '08', '18', '35', '48', '49'):1
('06', '25', '32', '38', '43', '47'):1
